,Time,Concentration
0,0.0,5.028253681487669e-06
1,0.03337453646477132,5.043147522980678e-06
2,0.06674907292954264,5.023531799321644e-06
3,0.10012360939431397,5.001980271822007e-06
4,0.1334981458590853,5.00697574720623e-06
5,0.1668726823238566,5.034498303370931e-06
6,0.20024721878862795,5.022236463350691e-06
7,0.23362175525339926,5.023464653465492e-06
8,0.2669962917181706,5.0034514504666985e-06
9,0.3003708281829419,5.009955744306869e-06
10,0.3337453646477132,5.0227396237902e-06
11,0.36711990111248455,5.0284511794706905e-06
12,0.4004944375772559,5.014252412593001e-06
13,0.4338689740420272,5.013818942566292e-06
14,0.4672435105067985,5.010367878946796e-06
15,0.5006180469715699,5.0267599374551495e-06
16,0.5339925834363412,5.028384291835767e-06
17,0.5673671199011124,5.029552865860922e-06
18,0.6007416563658838,5.030831658627611e-06
19,0.6341161928306551,5.036090870096981e-06
20,0.6674907292954264,5.039405478205109e-06
21,0.7008652657601978,5.0595964439079775e-06
22,0.7342398022249691,7.796610163241695e-06
23,0.7676143386897404,1.1595794678195583e-05
24,0.8009888751545118,1.0270361654923443e-05
25,0.8343634116192831,1.0155582542700771e-05
26,0.8677379480840544,9.690495798049218e-06
27,0.9011124845488256,9.554749387001228e-06
28,0.934487021013597,8.855829867902911e-06
29,0.9678615574783683,7.967229126688973e-06
30,1.0012360939431397,7.514834059086748e-06
31,1.034610630407911,7.5007005291359926e-06
32,1.0679851668726823,7.0743293428226605e-06
33,1.1013597033374536,6.673581312396762e-06
34,1.1347342398022249,6.338466467761362e-06
35,1.1681087762669962,6.008601949036592e-06
36,1.2014833127317677,5.763207518203014e-06
37,1.234857849196539,5.7708230298943595e-06
38,1.2682323856613102,5.5206007462872755e-06
39,1.3016069221260815,5.333380093884293e-06
40,1.3349814585908528,5.216854643341448e-06
41,1.368355995055624,5.11888491737246e-06
42,1.4017305315203956,5.022390718242421e-06
43,1.435105067985167,5.0269946257986705e-06
44,1.4684796044499382,4.909611219174941e-06
45,1.5018541409147095,4.905061574745242e-06
46,1.5352286773794808,4.917589019992344e-06
47,1.568603213844252,4.8929131029110505e-06
48,1.6019777503090236,4.886691366876462e-06
49,1.6353522867737948,4.878142085119167e-06
50,1.6687268232385661,4.817208718358981e-06
51,1.7021013597033374,4.82338366037858e-06
52,1.7354758961681087,4.839681238060464e-06
53,1.76885043263288,4.85230237636298e-06
54,1.8022249690976513,4.84692256406509e-06
55,1.8355995055624228,4.849304166073704e-06
56,1.868974042027194,4.857103363211868e-06
57,1.9023485784919654,4.796103180755638e-06
58,1.9357231149567367,4.79552833427534e-06
59,1.969097651421508,4.798655754773673e-06
60,2.0024721878862795,4.805840489279692e-06
61,2.0358467243510505,4.79821473848341e-06
62,2.069221260815822,4.77895884401449e-06
63,2.102595797280593,4.7779915037591355e-06
64,2.1359703337453646,4.758340020645252e-06
65,2.169344870210136,4.745937712268908e-06
66,2.202719406674907,4.7686335099412805e-06
67,2.2360939431396787,4.7718483714204e-06
68,2.2694684796044498,4.755939897525859e-06
69,2.3028430160692213,4.766018352578694e-06
70,2.3362175525339923,4.803343959770094e-06
71,2.369592088998764,4.8066343317473905e-06
72,2.4029666254635353,4.836581857005437e-06
73,2.4363411619283064,4.8310878490577165e-06
74,2.469715698393078,4.85253005219264e-06
75,2.503090234857849,4.889671513152432e-06
76,2.5364647713226205,4.921344446494562e-06
77,2.569839307787392,4.956283263684541e-06
78,2.603213844252163,5.033608838480929e-06
79,2.6365883807169346,5.030520497060655e-06
80,2.6699629171817056,6.0041507828961045e-06
81,2.703337453646477,5.829232786188659e-06
82,2.736711990111248,5.849903824815897e-06
83,2.7700865265760197,5.814001522473847e-06
84,2.8034610630407912,5.7630682779962335e-06
85,2.8368355995055623,5.782267703598289e-06
86,2.870210135970334,5.816528594257421e-06
87,2.903584672435105,5.80166915148755e-06
88,2.9369592088998764,5.819391838755165e-06
89,2.9703337453646474,5.792330357652469e-06
90,3.003708281829419,5.855002027391809e-06
91,3.0370828182941905,5.851195704033478e-06
92,3.0704573547589615,5.831995353623465e-06
93,3.103831891223733,5.843386291071376e-06
94,3.137206427688504,5.7899117464256166e-06
95,3.1705809641532756,5.866989290018993e-06
96,3.203955500618047,5.88407810444858e-06
97,3.237330037082818,5.89528675157692e-06
98,3.2707045735475897,5.826133569196754e-06
99,3.3040791100123608,5.7642202350301896e-06
100,3.3374536464771323,5.737053237885351e-06
101,3.3708281829419033,5.693189556914187e-06
102,3.404202719406675,5.637794749385713e-06
103,3.4375772558714464,5.652224292489786e-06
104,3.4709517923362174,5.6545863672318145e-06
105,3.504326328800989,5.686912517990043e-06
106,3.53770086526576,5.579961068199695e-06
107,3.5710754017305315,5.691930470515917e-06
